ID_0,ISO,NAME_0,ID_1,NAME_1,TYPE_1,ENGTYPE_1,NL_NAME_1,VARNAME_1,LAT,LON
228,TH-75,Thailand,59,"Samut Songkhram",Changwat,Province,"สมุทรสงคราม","",13.4098217,100.00226450000002
228,TH-19,Thailand,60,Saraburi,Changwat,Province,"สระบุรี","Sara Buri",14.5289154,100.91014210000003
228,TH-91,Thailand,61,Satun,Changwat,Province,"สตูล","",6.6238158,100.06737440000006
228,TH-33,Thailand,62,Sisaket,Changwat,Province,"ศรีสะเกษ","Si Sa Ket",15.1186009,104.32200949999992
228,TH-17,Thailand,63,"Sing Buri",Changwat,Province,"สิงห์บุรี","",14.8936253,100.39673140000002
228,TH-90,Thailand,64,Songkhla,Changwat,Province,"สงขลา","",7.1756004,100.61434699999995
228,TH-64,Thailand,65,Sukhothai,Changwat,Province,"สุโขทัย","",17.0055573,99.82637120000004
228,TH-72,Thailand,66,"Suphan Buri",Changwat,Province,"สุพรรณบุรี","",14.4744892,100.11771279999994
228,TH-84,Thailand,67,"Surat Thani",Changwat,Province,"สุราษฎร์ธานี","",9.1382389,99.32174829999997
228,TH-32,Thailand,68,Surin,Changwat,Province,"สุรินทร์","",14.882905,103.49371070000007
228,TH-63,Thailand,69,Tak,Changwat,Province,"ตาก","",16.8839901,99.12584979999997
228,TH-92,Thailand,70,Trang,Changwat,Province,"ตรัง","",7.5593851,99.61100650000003
228,TH-23,Thailand,71,Trat,Changwat,Province,"ตราด","",12.2427563,102.51747339999997
228,TH-34,Thailand,72,"Ubon Ratchathani",Changwat,Province,"อุบลราชธานี","",15.2286861,104.85642170000006
228,TH-41,Thailand,73,"Udon Thani",Changwat,Province,"อุดรธานี","",17.4138413,102.78723250000007
228,TH-61,Thailand,74,"Uthai Thani",Changwat,Province,"อุทัยธานี","",15.3835001,100.02455269999996
228,TH-53,Thailand,75,Uttaradit,Changwat,Province,"อุตรดิตถ์","",17.6200886,100.09929420000003
228,TH-95,Thailand,76,Yala,Changwat,Province,"ยะลา","",6.541147,101.28039469999999
228,TH-35,Thailand,77,Yasothon,Changwat,Province,"ยโสธร","",15.792641,104.14528270000005
